Fungsi APBN,,,
,Tabel Anggaran Belanja Pemerintah Pusat Berdasarkan Fungsi (Milyar Rupiah),,
,2014,2015,2016
Pelayanan umum,794772,891768,316533
Pertahanan,86307,96824,99649
Ketertiban dan keamanan,37953,46138,109794
Ekonomi,128274,143526,360226
Lingkungan hidup,12179,10679,12088
Perumahan dan fasilitas umum,31487,20466,34651
Kesehatan,13078,21113,67214
Pariwisata dan budaya,2053,1926,7433
Agama,4463,5290,9785
Pendidikan,131314,146393,150090
Perlindungan sosial,8063,8319,158089
Jumlah,1249943,1392442,1325551
