PDB Penggunaan (Seri 2010),,,,,
,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah),,,,
,2014,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
1. Pengeluaran Konsumsi Rumahtangga,1131854.55,1146012.15,1186520,1186631.74,4651018.44
"a. Makanan dan Minuman, Selain Restoran",410973.46,415635.89,430515.82,428059.38,1685184.55
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",46471.1,47122.05,48586.21,48189.81,190369.18
c. Perumahan dan Perlengkapan Rumahtangga,155560.17,156887.17,161304.18,162472.98,636224.51
d. Kesehatan dan Pendidikan,76980.09,78309.55,81226.71,81637.88,318154.23
e. Transportasi dan Komunikasi,278595.95,282935.51,293299.91,293468.33,1148299.69
f. Restoran dan Hotel,103762.72,105186.91,110302.1,110998.29,430250.02
g. Lainnya,59511.07,59935.07,61285.07,61805.07,242536.27
2. Pengeluaran Konsumsi LNPRT,25682,26228,23627,23883,99420
3. Pengeluaran Konsumsi Pemerintah,130084.23,172068.01,180099.59,254031.28,736283.11
a. Konsumsi Kolektif,80097.63,110201.85,110754.91,158541.83,459596.22
b. Konsumsi Individu,49986.61,61866.16,69344.68,95489.44,276686.89
4. Pembentukan Modal Tetap Domestik Bruto,662774.26,685670.41,703109.97,720916.13,2772470.77
a. Bangunan,482360.17,501895.76,517454.53,538676.48,2040386.95
b. Mesin dan Perlengkapan,74312.58,77542.86,74426.16,73872.6,300154.19
c. Kendaraan,37622.96,40320.88,38626.9,35519.73,152090.47
d. Peralatan Lainnya,9491.22,9959.02,10562.91,10899.96,40913.11
e. CBR,40229.04,34975.03,40655.85,44444.4,160304.33
f. Produk Kekayaan Intelektual,18758.29,20976.85,21383.62,17502.95,78621.72
5. Perubahan Inventori,57527.38,74379.36,43563.84,-11887.96,163582.63
6. Ekspor Barang dan Jasa,501516.86,506111.51,509141.53,531117.21,2047887.1
a. Barang,451921.2,455636.07,458439.37,476731.62,1842728.26
a.1. Barang Non-migas,397493.25,398850.49,396448.21,415015.44,1607807.38
a.b. Barang migas,54427.95,56785.58,61991.16,61716.18,234920.88
b. Jasa,49595.66,50475.44,50702.16,54385.58,205158.84
7. Dikurangi Impor Barang dan Jasa,479140.28,507999.08,480780.65,519193.91,1987113.92
a. Barang,413339.92,437213.88,411425.1,442465.42,1704444.33
a.1. Barang Non-migas,335161.75,361967.94,330924.44,349849.65,1377903.78
a.b. Barang migas,78178.18,75245.94,80500.66,92615.77,326540.55
b. Jasa,65800.35,70785.2,69355.55,76728.49,282669.59
Diskrepansi Statistik,28285.9,34915.24,42062.32,-23944.99,81318.46
8. PRODUK DOMESTIK BRUTO,2058584.9,2137385.6,2207343.6,2161552.5,8564866.6
