Sumber Penerimaan - Keuangan,,,
,Realisasi Pendapatan Negara (Milyar Rupiah),,
,2010,2011,2012
I. Penerimaan,992249,1205346,1332322.9
Penerimaan Perpajakan,723307,873874,980518.1
 Pajak Dalam Negeri,694392,819752,930861.8
  Pajak Penghasilan,357045,431122,465069.6
  Pajak Pertambahan Nilai dan dan Pajak Penjualan atas Barang Mewah,230605,277800,337584.6
  Pajak Bumi dan Bangunan,28581,29893,28968.9
  Bea Perolehan Hak atas Tanah dan Bangunan,8026,-1,0
  Cukai,66166,77010,95027.9
  Pajak Lainnya,3969,3928,4210.9
 Pajak Perdagangan Internasional,28915,54122,49656.3
  Bea Masuk,20017,25266,28418.4
  Pajak Ekspor,8898,28856,21237.9
Penerimaan Bukan Pajak,268942,331472,351804.7
 Penerimaan Sumber Daya Alam,168825,213823,225844
 Pendapatan dari Kekayaan Negara yang Dipisahkan,30097,28184,30798
 Penerimaan Bukan Pajak Lainnya,59429,69361,73458.5
 Pendapatan Badan Layanan Umum,10591,20104,21704.3
II. Hibah,3023,5253.9,5786.7
Jumlah,995271.5,1210599.7,1338109.6
